,Rank,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality
13877,13878,9903072,9811171,11096,9408033,9504070,9606076,9205093,9612166,3292,11096,9910060,3087,9612216
13878,13879,9903095,9903106,12095,9505016,9911192,9910130,109172,9707204,3293,12095,9911093,3111,9702161
13879,13880,9903106,9610040,102118,9511129,9604047,2064,204105,9802064,3296,102118,9911129,3189,9702091
13880,13881,9903129,9407155,103054,9603031,110217,8135,9803094,207078,4006,103054,9911162,3224,2209
13881,13882,9903149,3210,103083,9610067,10161,208069,9209105,9211009,4012,103083,9911207,4174,9902068
13882,13883,9903155,112057,107064,9701041,201009,211051,9702082,9311151,4016,107064,9912090,4192,9911209
13883,13884,9903164,9305047,109023,112122,9708111,9304068,9410201,9402033,4017,109023,1066,5082,110266
13884,13885,9903172,9311015,110016,9904096,9511227,9305047,9610213,9407053,4018,110016,2182,6116,9810155
13885,13886,9903208,9410224,112244,208168,9406205,9305112,9409001,9411062,4020,112244,2207,6237,9701170
13886,13887,9903221,9503060,112261,9412161,102010,9312206,9501124,9502059,4023,112261,3018,7165,9808162
13887,13888,9903248,9503127,112262,9506206,9803234,9403038,2098,9405189,4026,112262,4007,9034,10290
13888,13889,9903256,9506193,202182,9403012,9605098,9404114,112038,9406010,4033,202182,6115,11036,106016
13889,13890,9903260,9604117,202204,9607170,9706119,9503150,112182,9408015,4041,202204,6192,11096,112185
13890,13891,9904001,9605164,207112,9412020,9506093,9504070,207205,9702088,4046,207112,6217,12095,8240
13891,13892,9904003,9608025,212094,3255,9609123,9504093,9202069,9802105,4052,212094,7153,102118,7027
13892,13893,9904008,9612219,9209002,9506064,12256,9506053,9901164,9403025,4053,9209002,7200,103054,103034
13893,13894,9904011,9709076,9302085,11067,9603056,9506093,107193,9604191,4054,9302085,10217,103083,9810009
13894,13895,9904074,9803057,9303174,207237,9311048,9602176,9711084,9611147,4058,9303174,11173,107064,9612081
13895,13896,9904075,9803234,9305172,9506040,9503213,9605018,9604113,9704194,4059,9305172,11182,109023,9810115
13896,13897,9904076,9806244,9306049,9609090,5144,9605025,9710050,12173,4060,9306049,101020,110016,8120
13897,13898,9904085,8229,9307159,304204,9506167,9608089,9712024,206199,4064,9307159,104077,112244,5002
13898,13899,9904104,9809200,9309070,9312194,9503065,9609074,206125,304106,4065,9309070,106063,112261,9511187
13899,13900,9904126,9910130,9310192,9411210,9504109,9611211,212346,9210113,4069,9310192,109210,112262,9911053
13900,13901,9904159,108177,9311127,9810071,9705142,9709076,304206,9303072,4070,9311127,110073,202182,9904104
13901,13902,9905035,208069,9312151,4162,111039,9710074,9707046,9306027,4082,9312151,111004,202204,9607122
13902,13903,9905073,211051,9401112,9708135,9510075,9711159,207149,9410223,4086,9401112,111017,207112,9907057
13903,13904,9905078,9304128,9401144,202082,9709163,9712080,9302032,9812105,4088,9401144,111069,212094,10129
13904,13905,9905097,9310187,9403022,9602079,9502045,9804138,9805084,5286,4092,9403022,112022,9209002,9905095
13905,13906,9905113,9311164,9403146,9701052,9610143,9810144,9201002,110246,4094,9403146,203063,9302085,9907169
13906,13907,9905125,9406209,9403164,9807155,9602127,111239,9308144,9501039,4095,9403164,210235,9303174,9811182
13907,13908,9905133,9410003,9404143,9508014,205191,1136,9404174,9505086,4096,9404143,9301097,9305172,12005
13908,13909,9905178,9503044,9405108,9501068,111176,9610051,9411132,9801088,4105,9405108,9309082,9306049,9612114
13909,13910,9906007,9506093,9406183,9506133,2089,9711002,9809020,101112,4108,9406183,9402120,9307159,9807009
13910,13911,9906020,9509061,9407177,9605133,9601163,9712120,9903223,106236,4116,9407177,9405188,9309070,7233
13911,13912,9906034,9601087,9408031,9710221,9705180,10095,9306102,204181,4120,9408031,9412075,9310192,303265
13912,13913,9906047,9602176,9409172,5019,9405016,302044,9306107,110295,4121,9409172,9501033,9311127,8118
13913,13914,9906056,9603056,9411087,211051,9601160,9311010,9308027,206172,4122,9411087,9505014,9312151,9807198
13914,13915,9906084,9604016,9411229,9610052,9804030,9303116,9211063,9412195,4123,9411229,9506170,9401112,9606180
13915,13916,9906089,9609074,9412119,9806150,9809169,9304102,9602157,9701085,4127,9412119,9512077,9401144,9512024
13916,13917,9906093,9609123,9501084,9907084,9505135,9401041,9905149,111270,4128,9501084,9604051,9403022,101129
13917,13918,9906122,9611211,9502129,6039,212049,9503182,101045,9612178,4130,9502129,9609048,9403146,9805170
13918,13919,9906152,9804138,9504075,1108,9406068,9601095,101196,9710017,4132,9504075,9610126,9403164,212213
13919,13920,9906174,9905125,9504110,9801101,9805117,9806013,209166,9711024,4137,9504110,9612099,9404010,1064
13920,13921,9906187,9507022,9504142,9507118,9402070,9902040,203184,9804066,4138,9504142,9701158,9404143,9807142
13921,13922,9906189,9508174,9506088,9703109,201157,9906065,9911075,112117,4139,9506088,9702140,9405108,9607147
13922,13923,9906190,9603144,9506215,9711191,9605035,9802100,6180,208068,4140,9506215,9706075,9406183,9608169
13923,13924,9907007,9805020,9508149,9307121,9908199,9701022,9502110,9405080,4144,9508149,9709019,9407177,9901127
13924,13925,9907039,109223,9509129,9601173,9508124,9902048,9811199,9711033,4152,9509129,9709099,9408031,9802092
13925,13926,9907041,205248,9510016,9605098,9510239,3087,3285,9810233,4157,9510016,9711005,9409172,9909099
13926,13927,9907072,9306125,9510090,9702188,9703065,6065,9211111,8237,4159,9510090,9711144,9411087,9309152
13927,13928,9907117,9503182,9510136,9806057,103040,6131,9512211,10283,4161,9510136,9712008,9411229,9509170
13928,13929,9907126,9812122,9511003,210003,9506066,101078,9610208,9501102,4163,9511003,9801010,9412119,9911129
13929,13930,9907135,8095,9511013,9508152,101128,108107,6113,9712023,4164,9511013,9802132,9501084,9912153
13930,13931,9907174,11083,9511044,9511166,103172,203252,211054,106029,4167,9511044,9802196,9502129,9812001
13931,13932,9907177,9301047,9602090,9602106,9710019,9408086,9601099,207007,4172,9602090,9803013,9504075,9709021
13932,13933,9908016,9404030,9602171,9703046,208118,9604169,210017,9312031,4174,9602171,9804192,9504110,108105
13933,13934,9908027,9604169,9606060,9707070,8022,9606101,301026,9707199,4175,9606060,9805122,9504142,9705137
13934,13935,9908032,9809092,9607073,9802162,9501051,9607147,9602119,9906143,4176,9607073,9806078,9506088,9911216
13935,13936,9908052,9811075,9609033,3048,9809098,9610208,109224,210054,4180,9609033,9807172,9506215,108023
13936,13937,9908061,9907031,9609134,9503095,9408086,9611145,9703190,9311074,4181,9609134,9810025,9508149,211247
13937,13938,9908071,9908184,9609186,9511112,9609234,9702143,9205044,9404098,4182,9609186,9812066,9509129,110069
13938,13939,9908074,9911213,9610177,9607147,11012,9907031,9311102,9405126,4189,9610177,9905130,9510016,9708093
13939,13940,9908120,9404114,9701005,9608169,9408144,9911213,9405129,9711168,4191,9701005,9905200,9510090,9906061
13940,13941,9908121,9504093,9701029,9811109,3268,9407078,10225,9808027,4193,9701029,9909163,9510136,108136
13941,13942,9908124,9506053,9701113,9411055,9309156,2003,9307057,9809008,4201,9701113,9912089,9511003,102081
13942,13943,9908184,9508014,9702126,9504019,108159,9505083,9408113,109087,4203,9702126,9912151,9511013,203009
13943,13944,9908209,9612079,9704069,9701034,9406209,302178,12048,211080,4204,9704069,9912152,9511044,9710019
13944,13945,9909005,9712080,9705075,9709016,9711194,9503201,9210147,9711088,4205,9705075,9912287,9512166,201097
13945,13946,9909007,9810144,9705135,108105,9709019,9512063,9303145,2200,5002,9705135,5159,9602090,9603126
13946,13947,9909028,9508015,9706182,9602074,9309050,9903239,9308073,9031,5004,9706182,10142,9602171,9609234
13947,13948,9909034,207261,9706198,9805216,9807078,9611097,9511119,9402020,5008,9706198,11037,9606060,9903074
13948,13949,9909039,212213,9707046,9812106,9607047,4177,9411168,9603007,5009,9707046,101081,9607073,9705168
13949,13950,9909123,9705093,9709173,9911030,9604080,9509141,9709035,9612081,5010,9709173,103223,9609033,8236
13950,13951,9909147,9811239,9711045,9511067,9807100,112069,9411095,9802008,5011,9711045,106287,9609134,9412161
13951,13952,9909189,4177,9802060,9902031,9311189,210307,9510072,9810065,5018,9802060,107214,9609186,9609228
13952,13953,9909194,8066,9802077,9402032,9612219,9508150,202188,2135,5033,9802077,108010,9610177,207261
13953,13954,9909201,9509141,9803169,9602028,9708027,9602074,1029,9505012,5035,9803169,108050,9701005,101053
13954,13955,9910007,1136,9803187,9612039,107187,9610151,112158,9703048,5039,9803187,112197,9701029,207064
13955,13956,9910012,9405188,9804091,9411241,9509039,9805216,9401117,7098,5042,9804091,201042,9701113,9709045
13956,13957,9910027,9810044,9804138,9610221,9702020,9807100,9507136,111045,5051,9804138,202047,9702126,9309156
13957,13958,9910070,9408074,9806073,9408135,9307115,9811058,9602146,9311111,5055,9806073,207003,9704069,9603107
13958,13959,9910148,9603176,9806083,206006,9302101,9704016,9704064,9312174,5056,9806083,211089,9705075,9307007
13959,13960,9910154,9305069,9809025,9912260,10267,9508159,9903009,9402128,5057,9809025,211227,9705135,9901092
13960,13961,9910191,9306141,9810094,9609240,9504114,6221,101108,9504133,5060,9810094,9302049,9706182,112135
13961,13962,9910205,9403012,9812064,9406056,9506087,5255,202039,9510184,5062,9812064,9304161,9706198,103119
13962,13963,9910259,9610051,9812069,302084,9507061,203026,205287,9711002,5063,9812069,9307176,9707046,9903036
13963,13964,9910266,9711002,9901007,9307180,9406056,211167,9306054,9712120,5071,9901007,9401127,9709173,104229
13964,13965,9911003,9712120,9901047,9709100,108082,3210,9710075,9803095,5081,9901047,9404025,9711045,9410158
13965,13966,9911018,9712171,9902013,9601056,6154,6116,9812145,12222,5082,9902013,9408160,9802060,11248
13966,13967,9911026,9811109,9902069,9610163,9408082,9079,9406062,9706060,5092,9902069,9502015,9802077,3070
13967,13968,9911035,9501096,9903135,10162,9512079,104116,9604186,9801045,5093,9903135,9505032,9803169,11196
13968,13969,9911072,9405011,9903148,9305083,9703143,112057,9301070,210235,5095,9903148,9506107,9803187,9807219
13969,13970,9911084,9408086,9904004,6175,9707033,212019,9404188,9312214,5096,9904004,9508041,9804071,9807220
13970,13971,9911111,9503124,9904188,9406205,9802191,212062,2078,9407152,5098,9904188,9603071,9804091,9606030
13971,13972,9911130,9611078,9906002,9710224,9403094,9211030,208031,9502117,5100,9906002,9605001,9804138,7124
13972,13973,9911157,9308042,9906181,9504138,112122,9304128,9212120,1024,5104,9906181,9605017,9806019,205284
13973,13974,9911178,9502058,9909033,9512175,204208,9305069,9305003,5231,5107,9909033,9605090,9806073,9604067
13974,13975,9911182,9508150,9909064,9811157,9406193,9305093,9305181,6148,5110,9909064,9605158,9806083,9805128
13975,13976,9911187,9602107,9910231,9311164,9408076,9307037,9404050,110245,5117,9910231,9607013,9809025,9912216
13976,13977,9911200,9607147,9910242,9512160,9704025,9309085,9304115,9603011,5124,9910242,9608065,9810094,11239
13977,13978,9911209,9610151,9911141,9505151,9707227,9310155,9609228,9704118,5130,9911141,9609155,9812064,12095
13978,13979,9911216,7010,9911207,3127,9510116,9310187,9909156,108039,5132,9911207,9612128,9812069,111120
13979,13980,9911225,101048,9804041,9502104,9205,9311015,9205014,9704164,5144,9804041,9701095,9901007,9409097
13980,13981,9911232,101196,9912084,9605065,9612205,9311164,9208012,9608056,5146,9912084,9701185,9901047,9501018
13981,13982,9911249,9309152,9507011,9705227,3202,9312189,9303005,9711146,5155,9507011,9702030,9902013,9506087
13982,13983,9912033,9509170,9310188,9709028,9708095,9406209,9502032,9807155,5157,9310188,9703201,9902069,9803025
13983,13984,9912038,9606094,9404010,9709075,9803250,9407047,4167,206004,5160,9404010,9705111,9903135,9904012
13984,13985,9912044,9802113,9507100,7080,9302050,9407180,112110,206210,5161,9507100,9705207,9903148,210130
13985,13986,9912061,5255,9601105,205133,9709028,9410003,206042,9312013,5164,9601105,9706056,9904004,9612070
13986,13987,9912064,9407078,9904149,9304013,9506040,9410088,206084,9511044,5169,9904149,9706100,9904188,9707118
13987,13988,9912080,9506070,9606002,9404042,9607171,9410187,208102,9601165,5175,9606002,9706225,9906002,9908008
13988,13989,9912101,9403048,9605072,9504089,9608013,9411133,9604083,9612190,5178,9605072,9708074,9906181,112024
13989,13990,9912105,6065,9702115,9509120,9312042,9502058,9707178,9911209,5190,9702115,9708115,9909033,112069
13990,13991,9912112,101078,9312164,110266,9512011,9503044,9711135,9806156,5195,9312164,9710176,9909064,9711111
13991,13992,9912124,108107,9501134,9301046,9904144,9503216,9804186,9901061,5197,9501134,9711139,9910231,9809072
13992,13993,9912128,9408158,9412149,9305125,9601170,9506193,9811161,207213,5198,9412149,9712061,9910242,203024
13993,13994,9912142,9604080,9611033,9406032,9711090,9508014,9902154,212051,5201,9611033,9712231,9911141,9031
13994,13995,9912162,9606101,9702072,9606054,9808138,9509061,9510112,9510136,5202,9702072,9805112,9911207,9802008
13995,13996,9912193,9610208,9909148,9803101,9703139,9509171,9801105,9511003,5214,9909148,9805180,9911146,9810065
13996,13997,9912203,9701052,9907083,9807045,9705189,9603013,9511060,9609202,5215,9907083,9806235,9701035,9709034
13997,13998,9912226,9802070,9701073,9602155,9701018,9603095,9503091,9706169,5216,9701073,9807200,9605072,109077
13998,13999,9912240,204142,9209117,9610039,9704091,9604016,9305130,9712138,5218,9209117,9808140,9310188,205081
13999,14000,9912262,9412123,106228,9309119,9406111,9604117,9406103,9306141,5219,106228,9810194,9507100,210100
14000,14001,9912264,9508152,9906243,9312042,9902083,9604162,9406166,9701007,5226,9906243,9812034,9601105,209124
14001,14002,9912276,9901108,201267,9503229,9511112,9605164,9604012,9709145,5227,201267,9812252,9702072,9305185
14002,14003,1023,9712111,9075,9509049,9809017,9608025,9703019,9602016,5231,9075,9901106,9604114,9410155
14003,14004,1048,212019,10118,101078,4099,9609123,103014,9605202,5232,10118,9905098,9507011,9607131
14004,14005,1062,9407112,9208064,9503212,11273,9612169,9303084,9501084,5236,9208064,9907097,106207,9609111
14005,14006,1118,9507061,9406201,9604124,9702049,9612219,9304134,9505077,5249,9406201,9908031,9312164,206017
14006,14007,1128,9512063,9412023,9704206,9810212,9704209,9307076,9610052,5256,9412023,9909102,9405074,9805109
14007,14008,1141,9801022,9504139,9901016,9611079,9709189,9205111,9704130,5258,9504139,9912175,9701073,106194
14008,14009,1156,9609008,9504144,9907057,206210,9802191,9206061,111134,5262,9504144,9912260,9702152,9507022
14009,14010,1179,9701022,9605064,9912084,9509019,9803057,9605228,9607062,5267,9605064,9912279,202123,9711181
14010,14011,1196,3087,9605161,108148,9407128,9803234,9609060,9612005,5274,9605161,1201,9412149,101061
14011,14012,1221,3229,9608040,9503129,9411112,9804046,9610136,9803144,5278,9608040,4015,9707135,9702087
14012,14013,2003,9501088,9703181,9708132,9912235,9806127,9812055,9804150,5281,9703181,8165,4184,212042
14013,14014,2045,9704050,9710042,9803190,9702053,9806244,9209065,9807192,5285,9710042,9188,201267,9710194
14014,14015,2063,9902048,9801037,9504127,9706132,9811221,9308114,9902165,5286,9801037,10067,209102,201046
14015,14016,2093,111239,9808010,9511087,9909084,9812122,9309041,9512119,5288,9808010,11070,9075,9403173
14016,14017,2112,6221,9811225,9610066,9710147,9903106,109219,9044,6006,9811225,101001,9119,9506205
14017,14018,2169,112122,9905202,9409066,111191,9905125,9312115,9504091,6015,9905202,105108,10118,9506213
14018,14019,2213,9303116,9908055,9411082,9601114,9408074,9805199,9812134,6017,9908055,107175,104205,9810044
14019,14020,2214,9608169,9909221,9502050,206232,9603176,9306106,7077,6019,9909221,110111,204114,9411198
14020,14021,2215,9702143,3041,9603101,9808068,9705196,9407154,9605035,6024,3041,111192,9208064,102052
14021,14022,2218,9802191,9157,2203,9801091,204142,9209006,9709201,6029,9157,205055,9406201,104207
14022,14023,2227,9805116,201106,9312192,2062,207112,9402015,303163,6031,201106,205242,9407017,105092
14023,14024,2243,9807110,207006,9403038,9307145,210074,11258,9308019,6037,207006,211241,9412023,9508150
14024,14025,3059,10095,9301029,9408158,9507060,9412123,9403017,9411156,6038,9301029,9303116,9504139,9610151
14025,14026,3065,302044,105126,9705047,9411209,9503127,3234,9507017,6039,105126,9310019,9504144,11246
14026,14027,3070,9606038,106207,9711088,9703024,9508106,9306079,9508080,6041,106207,9311084,9605064,104267
14027,14028,3083,9607055,9604114,9806189,9412073,9608169,9308037,9508152,6042,9604114,9311127,9605161,9303106
14028,14029,3111,10229,107195,9810255,9609069,9901108,9407070,9512131,6061,107195,9406171,9608040,9307049
14029,14030,3123,111131,9304080,9812122,9608133,9611085,9501092,110272,6063,9304080,9410028,9703181,9401081
14030,14031,3128,302178,9311014,9904154,9205103,207216,9810119,204076,6075,9311014,9507148,9710025,9403022
14031,14032,3133,9403073,9806019,101165,5279,6118,9909004,9411177,6076,9806019,9510205,9710042,9406214
14032,14033,3138,9405159,107024,9303007,9609146,10043,103260,9609196,6078,107024,9601079,9808010,9701062
14033,14034,3168,9405185,109018,9312031,9712227,105163,9311084,9610185,6080,109018,9601097,9811225,9702080
14034,14035,3186,9406193,202123,9501023,9310013,110043,9309065,9702092,6082,202123,9606030,9905202,109004
14035,14036,3189,9408076,9407017,9703019,9507023,201105,9411031,9705200,6084,9407017,9606193,9908055,9710142
14036,14037,3191,9412051,11257,9703161,9503200,9304062,9412053,9801010,6088,11257,9606198,9909221,9710159
14037,14038,3206,9502080,104205,9706063,9611018,9306015,9405067,9802127,6095,104205,9607129,9907083,9905009
14038,14039,3213,9504144,9309133,9712080,9404187,9404068,9411115,9901113,6096,9309133,9703109,105126,9805110
14039,14040,3224,9510139,9710025,9712093,9710092,9410054,9606114,10235,6097,9710025,9706031,11257,9607155
14040,14041,3243,9602074,9911146,9803246,9606006,9410087,9503092,109060,6101,9911146,9706144,107195,3259
14041,14042,3249,9604160,106202,9810036,9704209,9504084,9901039,210257,6105,106202,9709028,9301029,9901163
14042,14043,3264,9606088,9702152,9905058,9409200,9506058,9208028,9309037,6109,9702152,9711191,9311014,9701146
14043,14044,3267,9609139,9405074,9905166,203228,9508174,9409193,9501136,6110,9405074,9711203,9912084,9607036
14044,14045,3268,9704025,9705126,9910232,9709189,9510104,9507147,9602107,6111,9705126,9712256,106228,9609086
14045,14046,3296,9704183,1091,9410004,9707243,9604080,9507148,9702013,6116,1091,9801100,9804041,9904085
14046,14047,3299,9705228,3027,9910088,8207,9606083,9306117,101231,6118,3027,9803167,9905184,111074
14047,14048,4004,9707227,3084,9509019,9802061,9607153,9403197,9612138,6123,3084,9805129,9304080,103083
14048,14049,4044,9803101,3155,9603066,9503216,9612205,9611013,206252,6135,3155,9806083,9801037,109034
14049,14050,4048,9804136,3301,9609226,9604162,9703023,9708131,9703151,6138,3301,9807078,109018,9803027
14050,14051,4066,9805216,4004,9705156,212062,9703139,9409076,201120,6140,4004,9807188,205088,9804119
14051,14052,4075,9811077,7123,9802191,6116,9705168,9507026,211161,6141,7123,9808046,211020,9806055
14052,14053,4086,9902151,7249,102167,104116,9710056,9702005,9307043,6143,7249,9809037,9309133,209027
14053,14054,4094,6118,8093,106277,9510179,9801192,9812192,9312201,6149,8093,9811005,9510213,9902019
14054,14055,4098,10043,106283,203056,9511163,9802070,9503216,9603093,6150,106283,9812177,9701191,9808141
14055,14056,4107,201105,109003,204116,9702058,9802113,9505049,9606095,6157,109003,9812233,9912277,9808072
14056,14057,4113,9305138,111131,9406203,9804156,9803250,9601141,9609091,6161,111131,9901147,9410132,9904175
14057,14058,4121,9403124,111173,9504049,9803035,9804187,8045,9806205,6162,111173,9902097,1064,9911038
14058,14059,4122,9412187,111213,9504084,9508088,9807110,9505029,9810229,6164,111213,9904003,1091,111108
14059,14060,4132,9506058,111265,9601095,9212086,9811075,9611054,9904152,6165,111265,9904012,3027,11123
14060,14061,5004,9510104,112111,9906185,9803047,9903223,6183,7161,6166,112111,9904061,3084,101158
14061,14062,5017,9608165,201167,9906238,9707199,9908139,9209075,12087,6167,201167,9904201,3155,7016
14062,14063,5033,9702127,205229,9912005,9610088,101048,9303058,9305008,6170,205229,9910077,3301,9804018
14063,14064,5042,9803250,205253,9809003,9508036,101196,9306129,9309082,6172,205253,9912143,4004,104193
14064,14065,5055,9903223,207164,9705211,9409066,9312025,9306135,6227,6175,207164,3101,7123,9704177
14065,14066,5077,9508001,212192,1070,9412071,9402073,9309029,101128,6177,212192,3120,7249,9608064
14066,14067,5119,8181,9208077,8093,9508162,9803248,9402133,204075,6178,9208077,3243,8093,9508106
14067,14068,5132,9505016,9302041,10262,9702007,9910195,9403185,9407062,6183,9302041,5005,101191,9411051
14068,14069,5165,9511129,9303071,207165,9702063,10152,9605127,9409079,6184,9303071,6091,104067,9512052
14069,14070,5166,9603031,9304116,9312213,9305026,108148,103213,108077,6185,9304116,7065,106283,7120
14070,14071,5227,9610067,9308030,9503227,203029,211279,201245,9311189,6186,9308030,8184,109003,101131
14071,14072,5232,9505083,9309129,9504004,9508075,9212027,9306146,9607071,6187,9309129,10204,111131,9912027
14072,14073,5243,110043,9309151,9508104,9606149,9306063,9503109,9611145,6198,9309151,103162,111173,205168
14073,14074,5255,112069,9310005,9512076,9809177,9307185,9607106,9710200,6200,9310005,106015,111213,9612127
14074,14075,5267,112241,9312087,9601018,9208046,9412161,9706223,9812023,6208,9312087,110170,111265,9311131
14075,14076,5269,203252,9404012,9612069,9708114,9503124,107221,9812060,6214,9404012,111095,112111,202102
14076,14077,5281,205307,9405009,9703139,9510143,9503129,9406162,12185,6220,9405009,206227,201167,9801143
14077,14078,6039,206236,9405169,9706150,9406009,9506206,9410048,202004,6221,9405169,207274,205229,108148
14078,14079,6042,210307,9407100,9707048,9310016,9607036,9605129,9305172,6237,9407100,209165,205253,9503129
14079,14080,6043,9309040,9412069,9709101,9301018,9607055,9609010,9403094,6238,9412069,210195,206216,9601156
14080,14081,6063,9310160,9501037,9803250,9406022,9703225,9308155,9505160,6241,9501037,210197,207164,9812133
14081,14082,6065,9402070,9503198,9805012,9708120,9712076,9510199,9603164,6243,9503198,211254,212192,108199
14082,14083,6073,9404068,9506107,9907039,9306122,211071,9601043,9611062,7001,9506107,9308019,9208077,9505135
14083,14084,6079,9511073,9508080,104104,9503235,9911126,9803005,9708045,7002,9508080,9311027,9302041,9509161
14084,14085,6094,9602148,9509004,110015,9307140,9511185,9805122,9804071,7003,9509004,9402068,9303071,9510179
14085,14086,6095,9612205,9509112,111047,9611178,9511221,9206034,9805184,7004,9509112,9402079,9304116,9603131
14086,14087,6126,9701073,9512090,111213,9509050,112241,9605037,9811210,7005,9512090,9403147,9307056,9604017
14087,14088,6132,9703139,9601174,203275,9607174,9606038,9403111,9309148,7008,9601174,9406176,9308030,9703227
14088,14089,6135,9703225,9602007,9203073,206027,9801102,9502021,9505060,7009,9602007,9501029,9309129,9902116
14089,14090,6136,9712076,9602116,9405008,9403123,9506011,203236,9512106,7016,9602116,9504162,9309151,9905018
14090,14091,6148,9801192,9603163,9607165,9408014,9075,210007,212321,7021,9603163,9505070,9310005,9903111
14091,14092,6158,9804046,9604039,9611220,9912240,112122,211246,9302014,7025,9604039,9606008,9312087,7010
14092,14093,6165,9809071,9604113,9705026,9210017,9403073,9308115,9706031,7026,9604113,9606061,9404012,208088
14093,14094,6217,9812103,9605067,9712234,9411085,9407112,112046,9808135,7027,9605067,9607149,9405009,9701035
14094,14095,6227,9908139,9605133,9809152,9304046,9410033,6186,107001,7028,9605133,9608086,9405169,5155
14095,14096,6237,9910195,9607079,9810174,9412180,9501088,106211,205304,7038,9607079,9609097,9407100,10110
14096,14097,6244,9710056,9609083,9812174,9407114,9505016,205245,9307143,7039,9609083,9703020,9412069,111114
14097,14098,7033,211167,9609105,9412115,9601141,9509034,208109,9405128,7040,9609105,9703215,9501037,9811239
14098,14099,7037,9508106,9610202,9604053,9707185,9511129,209249,9601040,7041,9610202,9704069,9503198,9510213
14099,14100,7055,9812106,9611005,203252,9703181,9603031,9310130,9611238,7042,9611005,9706052,9506107,3087
14100,14101,7066,9911030,9611096,209126,9602169,9610067,9701140,9707091,7045,9611096,9708083,9508080,9504090
14101,14102,7070,9712137,9705184,9504001,1143,9612017,5044,9401143,7047,9705184,9711189,9509004,9402089
14102,14103,7074,9509151,9705228,9809092,4171,9706063,208207,9503190,7054,9705228,9712188,9509112,9802194
14103,14104,7115,6131,9706014,4031,9002,9711123,209238,9504092,7055,9706014,9802036,9512090,5024
14104,14105,7123,108148,9706056,7033,9202021,9712033,9401167,9712098,7072,9706056,9805137,9601174,9405144
14105,14106,7133,211279,9706206,110179,9202059,9802084,9506157,9809098,7081,9706206,9806072,9602007,9703084
14106,14107,7142,9503129,9707234,205181,9208029,9811038,9810192,9810059,7084,9707234,9807180,9602116,9703161
14107,14108,7143,9607036,9708100,206121,9208059,9909189,7101,9812059,7088,9708100,9808109,9603163,9712093
14108,14109,7154,9611079,9709040,302089,9209052,9910259,12245,104128,7092,9709040,9808149,9604039,9810036
14109,14110,7159,10270,9804094,9403143,9210128,9602063,102011,9403150,7093,9804094,9810173,9604113,2035
14110,14111,7172,111095,9805184,9504021,9211061,11068,102054,9405133,7094,9805184,9811034,9605067,9410030
14111,14112,7176,9410033,9806088,9509034,9303038,9907127,9310121,9605025,7101,9806088,9811242,9605133,9611127
14112,14113,7198,9509112,9806153,9510216,9304135,206168,9312085,9809050,7108,9806153,9812227,9607079,9603104
14113,14114,7200,9603172,9809149,9602020,9306023,210019,9407123,9811174,7115,9809149,9902027,9609002,1179
14114,14115,7222,9605202,9810165,9609227,9306145,108212,9410235,103144,7122,9810165,9902098,9609083,9911087
14115,14116,7233,9612017,9811222,9612036,9310118,12015,9501090,9810009,7123,9811222,9905064,9609105,10264
14116,14117,8029,9712033,9811223,9710055,9401025,9405034,9503176,204210,7128,9811223,9905178,9610202,302032
14117,14118,8046,9807100,9902145,9712174,9402038,108149,9509056,9508146,7129,9902145,9908079,9611005,211179
14118,14119,8049,9811205,9903253,9507053,9402147,109034,9912202,9511176,7132,9903253,9909033,9611096,9808142
14119,14120,8082,9909189,9904093,9803210,9405024,9803101,101033,9610216,7133,9904093,9909047,9705184,10095
14120,14121,8120,9611097,9410132,211045,9502031,9812106,9403073,9912234,7136,9410132,9910074,9705228,302044
14121,14122,8135,207112,205088,9605141,9506181,9909225,9409104,102108,7138,205088,9911186,9706014,204209
14122,14123,8143,210074,9609002,9703023,9508131,9911030,9807003,9303172,7152,9609002,9912019,9706056,9810227
14123,14124,8157,9601095,209102,9705217,9510173,9603141,6170,9407179,7160,209102,9912118,9706206,9709012
14124,14125,8226,9711011,101214,9805094,9601092,5234,10246,9504096,7165,101214,2140,9707234,111098
14125,14126,8234,9704016,9512166,9809149,9605183,9911200,208216,9506184,7172,9512166,4136,9708100,9609201
14126,14127,9028,206168,9909189,9509129,9607091,8121,9404128,9601081,7178,9909189,4195,9709040,9504049
14127,14128,9034,5234,9904126,9804004,9611103,10229,9806228,9910010,7182,9904126,6013,9710050,3089
14128,14129,9048,9408128,103089,9907045,9701028,12107,9812189,12039,7186,103089,7022,9804094,9211120
14129,14130,9053,207216,11159,9607233,9703119,111131,9902204,9402070,7187,11159,7039,9805174,9801033
14130,14131,9055,9503201,101191,9906036,9706171,201192,9907125,9411153,7198,101191,7052,9805184,112224
14131,14132,9063,206076,9306063,9408116,9707139,205307,11027,9412237,7202,9306063,10138,9806088,101141
14132,14133,9064,9603071,9307169,9802086,9812032,9210101,9408004,9507126,7210,9307169,103010,9806153,203072
14133,14134,9078,9705196,9401127,9406128,9609078,9302101,9612117,9601120,7216,9401127,106237,9809149,9706163
14134,14135,9087,8093,9806221,9310012,6003,9303050,9304041,9603201,7219,9806221,108174,9810165,207144
